,sofifa_id,first_position,second_position,third_position,hits,team,height_cm,weight_kg,value_eur,wage_eur,preferred_foot,international_reputation,release_clause_eur,team_jersey_number,loaned_from,contract_valid_until,shooting,passing,dribbling,defending,physic,name,age,nationality,potential,overall
38,211110,CAM,CF,,95,Juventus,177,75,76.5,215.0,Left,3,132000000.0,10.0,,2022.0,82.0,84.0,90.0,43.0,64.0,P. Dybala,26,Argentina,90,87
39,200104,LM,CF,,75,Tottenham Hotspur,183,78,60.0,185.0,Right,3,115500000.0,7.0,,2023.0,86.0,80.0,87.0,42.0,68.0,H. Son,28,Korea Republic,87,87
40,199556,CDM,CM,,45,Paris Saint-Germain,165,60,54.5,140.0,Right,3,104900000.0,6.0,,2021.0,60.0,84.0,90.0,79.0,66.0,M. Verratti,27,Italy,88,87
41,195864,CDM,CM,,70,Manchester United,191,84,72.5,250.0,Right,4,143200000.0,6.0,,2021.0,81.0,86.0,85.0,66.0,86.0,P. Pogba,27,France,88,87
42,193041,GK,,,28,Real Madrid,185,80,30.5,195.0,Right,3,62500000.0,1.0,,2020.0,,,,,,K. Navas,33,Costa Rica,87,87
43,192387,ST,,,130,Lazio,185,85,44.5,105.0,Right,3,75700000.0,17.0,,2023.0,85.0,63.0,81.0,39.0,76.0,C. Immobile,30,Italy,87,87
44,190460,RM,CM,CAM,48,Tottenham Hotspur,181,76,68.0,205.0,Right,3,130900000.0,23.0,,2020.0,81.0,90.0,84.0,53.0,63.0,C. Eriksen,28,Denmark,87,87
45,189513,CM,,,14,Valencia CF,182,74,41.0,69.0,Right,2,86100000.0,10.0,,2022.0,80.0,88.0,79.0,70.0,69.0,Parejo,31,Spain,87,87
46,188350,CAM,CF,,42,Borussia Dortmund,180,71,56.0,170.0,Right,4,92400000.0,11.0,,2023.0,88.0,84.0,87.0,45.0,66.0,M. Reus,31,Germany,87,87
47,186153,GK,,,17,Juventus,195,90,37.5,135.0,Right,3,64700000.0,1.0,,2021.0,,,,,,W. SzczÄsny,30,Poland,88,87
48,183898,RW,LW,,41,Paris Saint-Germain,180,69,39.0,150.0,Left,4,72200000.0,11.0,,2021.0,79.0,84.0,87.0,48.0,68.0,A. Di MarÃ­a,32,Argentina,87,87
49,182493,CB,,,16,Inter,187,78,28.0,135.0,Right,3,47600000.0,2.0,,2022.0,48.0,64.0,61.0,89.0,83.0,D. GodÃ­n,34,Uruguay,87,87
50,178603,CB,,,18,Borussia Dortmund,191,94,41.0,130.0,Right,4,67700000.0,15.0,,2022.0,58.0,76.0,72.0,89.0,76.0,M. Hummels,31,Germany,87,87
51,175943,ST,CF,,34,Napoli,169,61,40.0,135.0,Right,3,68000000.0,14.0,,2020.0,83.0,80.0,91.0,35.0,53.0,D. Mertens,33,Belgium,87,87
52,168542,CM,CAM,,28,Manchester City,173,67,36.0,265.0,Left,4,66600000.0,21.0,,2020.0,74.0,88.0,89.0,52.0,57.0,David Silva,34,Spain,87,87
53,167948,GK,,,19,Tottenham Hotspur,188,82,36.0,150.0,Left,4,66600000.0,1.0,,2022.0,,,,,,H. Lloris,33,France,87,87
54,164240,CB,,,28,Paris Saint-Germain,183,82,18.5,135.0,Right,4,34200000.0,2.0,,2020.0,54.0,72.0,72.0,87.0,78.0,Thiago Silva,35,Brazil,87,87
55,233049,RM,LM,CAM,300,Borussia Dortmund,180,76,44.5,61.0,Right,2,82300000.0,7.0,,2022.0,72.0,77.0,90.0,36.0,60.0,J. Sancho,20,England,94,86
56,232363,CB,,,62,Inter,187,80,52.0,89.0,Right,1,92300000.0,37.0,,2023.0,41.0,59.0,66.0,87.0,82.0,M. Å kriniar,25,Slovakia,90,86
57,228702,CM,,,126,FC Barcelona,180,74,52.0,195.0,Right,3,117000000.0,21.0,,2024.0,64.0,84.0,87.0,76.0,76.0,F. de Jong,23,Netherlands,92,86
58,222492,LW,,,74,Manchester City,183,75,61.0,195.0,Left,2,125100000.0,19.0,,2021.0,81.0,79.0,86.0,38.0,70.0,L. SanÃ©,24,Germany,90,86
59,220440,CB,,,58,FC Barcelona,186,81,45.0,175.0,Left,2,95600000.0,15.0,,2023.0,45.0,68.0,65.0,86.0,80.0,C. Lenglet,25,France,90,86
60,216267,LB,,,66,Liverpool,178,64,43.5,125.0,Left,1,83700000.0,26.0,,2024.0,62.0,77.0,79.0,80.0,75.0,A. Robertson,26,Scotland,89,86
61,212198,CM,CAM,,127,Sporting CP,179,69,49.0,24.0,Right,2,101700000.0,8.0,,2023.0,83.0,87.0,85.0,65.0,74.0,Bruno Fernandes,25,Portugal,89,86
62,212188,ST,,,136,RB Leipzig,180,75,34.5,70.0,Right,3,61200000.0,11.0,,2020.0,81.0,67.0,83.0,35.0,69.0,T. Werner,24,Germany,89,86
63,209499,CDM,,,44,Liverpool,188,78,45.0,125.0,Right,3,86600000.0,3.0,,2023.0,69.0,78.0,77.0,85.0,83.0,Fabinho,26,Brazil,88,86
64,208830,ST,,,43,Leicester City,179,74,17.5,115.0,Right,3,33300000.0,9.0,,2022.0,81.0,65.0,74.0,55.0,75.0,J. Vardy,33,England,86,86
65,208670,CAM,RW,,113,Ajax,181,65,45.0,39.0,Left,3,66400000.0,22.0,,2022.0,75.0,86.0,83.0,50.0,66.0,H. Ziyech,27,Morocco,87,86
66,207865,CB,CDM,,48,Paris Saint-Germain,183,75,51.5,120.0,Right,3,99100000.0,5.0,,2022.0,41.0,73.0,70.0,86.0,77.0,Marquinhos,26,Brazil,90,86
67,204485,RM,RW,,40,Manchester City,179,67,31.5,195.0,Left,3,58300000.0,26.0,,2023.0,78.0,79.0,89.0,38.0,59.0,R. Mahrez,29,Algeria,86,86
68,201535,CB,,,39,Real Madrid,191,81,45.0,205.0,Right,3,95600000.0,5.0,,2022.0,45.0,62.0,63.0,85.0,80.0,R. Varane,27,France,89,86
69,201399,ST,,,47,Inter,181,75,46.0,115.0,Right,3,81700000.0,36.0,,2021.0,84.0,61.0,77.0,36.0,69.0,M. Icardi,27,Argentina,87,86
70,198219,LM,CF,LW,42,Napoli,163,59,52.0,140.0,Right,3,88400000.0,24.0,,2022.0,79.0,85.0,91.0,35.0,47.0,L. Insigne,29,Italy,86,86
71,193747,RM,LM,CM,15,AtlÃ©tico Madrid,176,74,40.5,88.0,Right,3,83000000.0,6.0,,2024.0,75.0,86.0,82.0,74.0,79.0,Koke,28,Spain,86,86
72,192505,ST,,,63,Inter,190,94,46.0,115.0,Left,3,81700000.0,9.0,,2024.0,82.0,73.0,72.0,35.0,84.0,R. Lukaku,27,Belgium,87,86
73,189509,CDM,CM,,47,FC Bayern MÃ¼nchen,174,70,50.0,180.0,Right,3,82500000.0,6.0,,2021.0,74.0,85.0,90.0,69.0,63.0,Thiago,29,Spain,86,86
74,189332,LB,,,35,FC Barcelona,170,68,40.0,240.0,Left,3,82000000.0,18.0,,2024.0,69.0,81.0,83.0,79.0,73.0,Jordi Alba,31,Spain,86,86
75,184344,CB,,,17,Juventus,190,85,28.5,160.0,Right,3,47000000.0,19.0,,2023.0,58.0,69.0,70.0,87.0,79.0,L. Bonucci,33,Italy,86,86
76,184087,CB,,,16,Tottenham Hotspur,186,81,41.0,155.0,Right,3,75900000.0,4.0,,2020.0,55.0,72.0,66.0,88.0,79.0,T. Alderweireld,31,Belgium,86,86
77,180206,CDM,CM,,31,Juventus,178,72,42.5,180.0,Right,3,70100000.0,5.0,,2023.0,68.0,87.0,85.0,75.0,67.0,M. PjaniÄ,30,Bosnia & Herzegovina,86,86
78,179813,ST,,,26,Paris Saint-Germain,185,77,47.0,195.0,Right,4,87000000.0,9.0,,2020.0,86.0,72.0,79.0,55.0,83.0,E. Cavani,33,Uruguay,86,86
79,177683,GK,,,5,Borussia MÃ¶nchengladbach,183,79,21.0,37.0,Right,3,35700000.0,1.0,,2021.0,,,,,,Y. Sommer,31,Switzerland,86,86
80,143076,ST,CAM,CF,49,Atalanta,165,68,34.0,92.0,Right,3,57800000.0,10.0,,2022.0,78.0,81.0,86.0,39.0,55.0,A. GÃ³mez,32,Argentina,86,86
81,235243,CB,,,110,Juventus,189,89,50.0,76.0,Right,3,92500000.0,4.0,,2024.0,58.0,66.0,68.0,83.0,84.0,M. de Ligt,20,Netherlands,92,85
82,231866,CDM,CM,,36,Manchester City,191,82,47.0,150.0,Right,2,90500000.0,16.0,,2024.0,68.0,77.0,77.0,82.0,80.0,Rodri,24,Spain,89,85
83,231281,RB,,,135,Liverpool,180,69,32.0,78.0,Right,1,65600000.0,66.0,,2024.0,62.0,82.0,78.0,78.0,70.0,T. Alexander-Arnold,21,England,90,85
84,230658,CM,,,64,FC Barcelona,171,73,41.0,180.0,Right,2,87100000.0,8.0,,2024.0,71.0,81.0,86.0,73.0,70.0,Arthur,23,Brazil,90,85
85,230621,GK,,,62,Milan,196,90,41.5,34.0,Right,3,78900000.0,99.0,,2021.0,,,,,,G. Donnarumma,21,Italy,92,85
86,226753,GK,,,55,Ajax,187,93,22.0,18.0,Right,2,32500000.0,24.0,,2022.0,,,,,,A. Onana,24,Cameroon,89,85
87,223848,CDM,CM,CAM,55,Lazio,191,76,50.5,73.0,Right,2,89600000.0,21.0,,2023.0,79.0,80.0,83.0,77.0,84.0,S. MilinkoviÄ-SaviÄ,25,Serbia,90,85
88,216594,ST,RM,CAM,34,Real Betis,173,75,39.0,40.0,Left,3,84800000.0,8.0,,2023.0,82.0,81.0,88.0,33.0,77.0,N. Fekir,27,France,87,85
89,216460,CB,,,34,AtlÃ©tico Madrid,185,80,45.0,69.0,Right,2,95600000.0,2.0,,2023.0,45.0,52.0,54.0,86.0,82.0,J. GimÃ©nez,25,Uruguay,89,85
90,212190,CB,,,42,FC Bayern MÃ¼nchen,195,97,46.5,115.0,Right,2,80200000.0,4.0,,2022.0,42.0,55.0,50.0,86.0,82.0,N. SÃ¼le,24,Germany,90,85
91,208421,LB,LM,CM,39,AtlÃ©tico Madrid,184,77,49.5,77.0,Left,3,105200000.0,8.0,,2026.0,78.0,79.0,81.0,78.0,78.0,SaÃºl,25,Spain,89,85
92,206113,RM,LM,RW,79,FC Bayern MÃ¼nchen,175,75,39.5,120.0,Right,2,68100000.0,22.0,,2023.0,82.0,75.0,86.0,43.0,69.0,S. Gnabry,25,Germany,87,85
93,205600,CB,,,42,FC Barcelona,182,75,50.0,210.0,Left,3,106300000.0,23.0,,2023.0,63.0,69.0,69.0,86.0,82.0,S. Umtiti,26,France,88,85
94,204963,RB,,,24,Real Madrid,173,73,38.0,205.0,Right,3,80800000.0,2.0,,2022.0,47.0,78.0,81.0,82.0,80.0,Carvajal,28,Spain,85,85
95,198706,CM,CAM,CF,27,Lazio,183,74,37.5,78.0,Right,2,66600000.0,10.0,,2022.0,76.0,84.0,85.0,49.0,59.0,Luis Alberto,27,Spain,86,85
96,198176,CB,,,19,Inter,189,78,31.5,88.0,Right,3,55900000.0,6.0,,2023.0,41.0,62.0,68.0,86.0,74.0,S. de Vrij,28,Netherlands,86,85
97,197965,RM,CM,,14,SL Benfica,177,72,30.5,26.0,Right,3,61000000.0,21.0,,2023.0,77.0,84.0,81.0,63.0,68.0,Pizzi,30,Portugal,85,85
98,197781,CM,CAM,LW,25,Real Madrid,176,79,51.0,245.0,Right,3,108400000.0,22.0,,2022.0,77.0,83.0,91.0,59.0,60.0,Isco,28,Spain,85,85
99,192629,ST,RW,,10,RC Celta,176,67,34.5,49.0,Left,2,72500000.0,10.0,,2023.0,84.0,77.0,85.0,35.0,64.0,Iago Aspas,32,Spain,85,85
100,192563,GK,,,30,Arsenal,190,83,26.0,91.0,Right,3,51400000.0,1.0,,2023.0,,,,,,B. Leno,28,Germany,87,85
101,189596,RM,CAM,RW,23,FC Bayern MÃ¼nchen,186,75,43.5,170.0,Right,4,71800000.0,25.0,,2021.0,83.0,79.0,78.0,55.0,71.0,T. MÃ¼ller,30,Germany,85,85
102,189242,CM,CAM,LW,49,FC Bayern MÃ¼nchen,172,68,46.5,175.0,Right,3,,10.0,FC Barcelona,2020.0,80.0,84.0,90.0,52.0,64.0,Coutinho,28,Brazil,85,85
103,189117,GK,,,10,Borussia Dortmund,187,85,32.0,92.0,Right,3,55200000.0,1.0,,2021.0,,,,,,R. BÃ¼rki,29,Switzerland,86,85
104,187961,CDM,CM,CAM,22,Guangzhou Evergrande Taobao FC,183,80,29.0,43.0,Right,3,46400000.0,8.0,,2023.0,81.0,77.0,80.0,78.0,85.0,Paulinho,32,Brazil,85,85
105,185122,GK,,,14,RB Leipzig,192,86,31.0,69.0,Right,2,55000000.0,1.0,,2022.0,,,,,,P. GulÃ¡csi,30,Hungary,86,85
106,183711,CDM,CM,,41,Liverpool,182,80,22.0,115.0,Right,2,40700000.0,14.0,,2020.0,70.0,83.0,77.0,78.0,80.0,J. Henderson,30,England,85,85
107,181291,CDM,CM,,40,Liverpool,175,69,31.0,140.0,Right,3,57400000.0,5.0,,2021.0,73.0,78.0,84.0,76.0,78.0,G. Wijnaldum,29,Netherlands,85,85
108,177413,CDM,CM,,26,Borussia Dortmund,186,81,31.5,110.0,Right,3,52000000.0,28.0,,2022.0,74.0,80.0,79.0,83.0,81.0,A. Witsel,31,Belgium,85,85
109,173731,ST,RW,LW,69,Real Madrid,185,82,37.5,250.0,Left,4,76900000.0,11.0,,2022.0,87.0,82.0,82.0,58.0,76.0,G. Bale,31,Wales,85,85
110,172871,LB,CB,,26,Tottenham Hotspur,189,86,32.5,155.0,Left,3,60100000.0,5.0,,2020.0,63.0,74.0,72.0,87.0,79.0,J. Vertonghen,33,Belgium,85,85
111,168651,CM,,,38,FC Barcelona,184,78,38.0,245.0,Right,4,77900000.0,4.0,,2021.0,81.0,86.0,81.0,74.0,70.0,I. RakitiÄ,32,Croatia,85,85
112,167664,ST,,,24,Juventus,186,89,34.5,175.0,Right,4,56900000.0,21.0,,2021.0,85.0,71.0,80.0,31.0,71.0,G. HiguaÃ­n,32,Argentina,85,85
113,135507,CB,CDM,,14,Manchester City,179,67,19.5,200.0,Right,3,36100000.0,25.0,,2020.0,74.0,79.0,78.0,84.0,79.0,Fernandinho,35,Brazil,85,85
114,41236,ST,,,189,LA Galaxy,195,95,14.0,15.0,Right,5,21000000.0,9.0,,2019.0,88.0,77.0,77.0,34.0,78.0,Z. IbrahimoviÄ,38,Sweden,85,85
115,235790,RM,CAM,,176,Bayer 04 Leverkusen,188,83,46.0,70.0,Left,1,87400000.0,29.0,,2022.0,78.0,79.0,84.0,44.0,65.0,K. Havertz,21,Germany,93,84
116,231677,ST,LM,,104,Manchester United,186,70,35.5,125.0,Right,2,70100000.0,10.0,,2023.0,82.0,73.0,84.0,45.0,77.0,M. Rashford,22,England,89,84
117,231478,ST,,,138,Inter,174,81,27.0,61.0,Right,1,51300000.0,10.0,,2023.0,77.0,68.0,82.0,40.0,83.0,L. MartÃ­nez,22,Argentina,91,84
118,226790,CDM,CM,,36,Leicester City,183,74,20.5,74.0,Right,1,40500000.0,25.0,,2024.0,62.0,67.0,74.0,83.0,82.0,W. Ndidi,23,Nigeria,88,84
119,220814,LB,CB,,47,FC Bayern MÃ¼nchen,182,76,37.5,110.0,Left,3,64700000.0,21.0,,2024.0,54.0,70.0,71.0,83.0,82.0,L. HernÃ¡ndez,24,France,89,84
120,213345,RM,LM,LW,65,FC Bayern MÃ¼nchen,179,75,40.5,120.0,Right,2,69900000.0,29.0,,2023.0,76.0,77.0,87.0,29.0,60.0,K. Coman,24,France,88,84
121,212462,LB,,,42,FC Porto,181,71,33.0,23.0,Left,3,68500000.0,13.0,,2021.0,72.0,84.0,81.0,80.0,76.0,Alex Telles,27,Brazil,85,84
122,212194,LM,CM,CAM,51,Borussia Dortmund,185,83,40.5,94.0,Right,2,69900000.0,19.0,,2024.0,78.0,81.0,85.0,40.0,68.0,J. Brandt,24,Germany,88,84
123,210243,RB,,,28,Leicester City,175,70,23.5,89.0,Right,3,46400000.0,21.0,,2023.0,64.0,77.0,81.0,79.0,73.0,Ricardo Pereira,26,Portugal,86,84
124,209989,CDM,CM,,42,AtlÃ©tico Madrid,185,77,27.0,68.0,Right,2,57400000.0,5.0,,2023.0,72.0,77.0,77.0,79.0,84.0,T. Partey,27,Ghana,87,84
125,209658,CDM,CM,CAM,58,FC Bayern MÃ¼nchen,189,79,40.0,120.0,Right,3,69000000.0,18.0,,2022.0,77.0,80.0,81.0,75.0,79.0,L. Goretzka,25,Germany,88,84
126,207863,CB,,,19,AtlÃ©tico Madrid,190,83,25.0,74.0,Right,3,51300000.0,18.0,,2022.0,41.0,57.0,60.0,84.0,87.0,Felipe,31,Brazil,84,84
127,207410,CM,,,43,Chelsea,176,78,29.0,125.0,Right,3,57300000.0,17.0,,2024.0,68.0,81.0,86.0,67.0,70.0,M. KovaÄiÄ,26,Croatia,87,84
128,205498,CDM,CM,,29,Chelsea,180,67,29.0,140.0,Right,2,57300000.0,5.0,,2023.0,63.0,84.0,81.0,70.0,73.0,Jorginho,28,Italy,84,84
129,202556,CAM,CF,LW,75,Olympique Lyonnais,176,78,40.5,110.0,Right,3,80000000.0,11.0,,2021.0,80.0,81.0,84.0,32.0,78.0,M. Depay,26,Netherlands,87,84
130,200647,ST,CF,,41,Atalanta,190,79,28.0,92.0,Left,3,47600000.0,72.0,,2021.0,84.0,84.0,85.0,43.0,67.0,J. IliÄiÄ,32,Slovenia,84,84
131,199914,CM,,,13,Napoli,175,74,38.0,110.0,Right,2,64600000.0,5.0,,2023.0,71.0,78.0,84.0,85.0,84.0,Allan,29,Brazil,84,84
132,199845,CB,,,15,Lazio,192,88,19.0,64.0,Left,2,32300000.0,33.0,,2023.0,50.0,61.0,63.0,86.0,82.0,F. Acerbi,32,Italy,84,84
133,199482,GK,,,5,Olympique Lyonnais,184,81,33.5,88.0,Left,2,66200000.0,1.0,,2020.0,,,,,,A. Lopes,29,Portugal,86,84
134,199451,ST,,,31,AS Monaco,170,68,27.0,67.0,Right,2,51300000.0,22.0,,2024.0,82.0,77.0,85.0,39.0,61.0,W. Ben Yedder,29,France,84,84
135,198710,RM,CM,CAM,41,Real Madrid,180,75,40.5,225.0,Left,4,83000000.0,16.0,,2020.0,86.0,87.0,86.0,50.0,63.0,J. RodrÃ­guez,29,Colombia,84,84
136,194404,GK,,,7,FC Barcelona,190,84,31.0,175.0,Right,2,65900000.0,13.0,,2023.0,,,,,,Neto,31,Brazil,85,84
137,193474,CDM,CM,,30,Paris Saint-Germain,174,66,22.0,100.0,Right,2,40700000.0,27.0,,2023.0,59.0,70.0,78.0,85.0,78.0,I. Gueye,30,Senegal,84,84
138,193301,ST,,,43,Arsenal,175,73,46.0,165.0,Right,3,87400000.0,9.0,,2022.0,85.0,75.0,86.0,40.0,74.0,A. Lacazette,29,France,84,84
139,192774,CB,,,11,Napoli,189,83,37.5,105.0,Right,3,66600000.0,44.0,,2022.0,25.0,42.0,60.0,86.0,81.0,K. Manolas,29,Greece,85,84
140,191043,LB,LM,,18,Juventus,180,80,33.0,155.0,Left,3,54500000.0,12.0,,2020.0,65.0,77.0,80.0,82.0,82.0,Alex Sandro,29,Brazil,84,84
141,190483,LM,RW,LW,24,Juventus,172,70,31.5,155.0,Left,3,52000000.0,11.0,,2022.0,73.0,79.0,91.0,43.0,61.0,Douglas Costa,29,Brazil,84,84
142,190286,LM,CM,CAM,18,Real Betis,176,65,31.5,44.0,Left,2,66200000.0,10.0,,2022.0,79.0,83.0,81.0,51.0,66.0,Canales,29,Spain,84,84
143,188152,CM,CAM,LW,25,Shanghai SIPG FC,181,71,29.5,29.0,Right,3,49400000.0,8.0,,2020.0,76.0,83.0,81.0,55.0,50.0,Oscar,28,Brazil,84,84
144,186942,CDM,CM,,18,Manchester City,180,80,31.0,180.0,Right,3,57400000.0,8.0,,2023.0,74.0,84.0,84.0,72.0,71.0,I. GÃ¼ndoÄan,29,Germany,84,84
145,185020,RM,RW,,13,Napoli,178,73,24.0,96.0,Right,3,40800000.0,7.0,,2020.0,78.0,75.0,83.0,47.0,64.0,JosÃ© CallejÃ³n,33,Spain,84,84
146,184432,RB,LB,CB,25,Chelsea,178,76,25.5,145.0,Right,3,48500000.0,28.0,,2022.0,55.0,77.0,73.0,85.0,76.0,Azpilicueta,30,Spain,84,84
147,181872,CDM,CM,CAM,53,FC Barcelona,180,75,23.5,205.0,Right,4,48200000.0,22.0,,2021.0,79.0,80.0,78.0,85.0,86.0,A. Vidal,33,Chile,84,84
148,180930,ST,,,13,Roma,193,80,19.5,75.0,Right,3,33200000.0,9.0,,2022.0,84.0,71.0,75.0,46.0,73.0,E. DÅ¾eko,34,Bosnia & Herzegovina,84,84
149,178562,CDM,CM,,9,Sevilla FC,174,71,19.5,26.0,Right,3,41000000.0,10.0,,2020.0,73.0,84.0,82.0,77.0,70.0,E. Banega,32,Argentina,84,84
